ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
47,성분에디터,[콜라겐 녹는실] 성분에디터 실크 펩타이드 인텐시브 리프팅 앰플 35ml,"36,000","14,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(340건),4.9
48,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서 더블기획 (120ml+120ml),"42,000","31,500",스킨케어,미스트/오일,미스트/픽서,"(20,060건)",4.7
49,더하르나이,[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml+30ml 기획,"29,000","19,900",스킨케어,크림,크림,"(3,445건)",4.8
50,차앤박,[2월 올영픽] 차앤박 프로폴리스 앰플 미스트 250ml 더블기획 (250ml+250ml),"27,000","22,900",스킨케어,미스트/오일,미스트/픽서,"(6,182건)",4.8
51,바이오더마,[2월 올영픽/토너 본품증정]바이오더마 하이드라비오 히알루+ 세럼 30ml 기획 (+토너 250ml 증정),"52,000","38,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(1,096건)",4.9
52,프리메라,[레티놀+비타민C] 프리메라 비타티놀 세럼 21g+15g 기획/단품,"40,000","30,400",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(5,098건)",4.8
53,셀리맥스,셀리맥스 더 리얼 노니 에너지 앰플 90ml 에디션 (80ml+10ml),"33,000","28,220",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(12,639건)",4.8
54,아이디얼포맨,[2월올영픽]아이디얼포맨 퍼펙트 올인원(토트넘 콜라보 기획/상시기획),"39,800","29,800",스킨케어,로션,올인원,"(4,026건)",4.9
55,바이오힐보,[1등탄력] 바이오힐보 프로바이오덤 3D 리프팅크림 50ml 리필기획,"70,200","39,900",스킨케어,크림,크림,"(1,972건)",4.8
56,닥터자르트,[한정수량1+1] 닥터자르트 세라마이딘 울트라 모이스처라이징 크림 50ml 1+1 기획,"51,000","43,350",스킨케어,크림,크림,"(2,887건)",4.8
57,리얼베리어,리얼베리어 익스트림 크림 라이트 65ml 1+1 기획,"35,500","24,200",스킨케어,크림,크림,"(1,784건)",4.7
58,라운드랩,[1등토너] 라운드랩 1025 독도 토너 500ml 기획 (+100ml),"30,000","27,000",스킨케어,스킨/토너,스킨/토너,"(11,167건)",4.8
59,넘버즈인,[모공+피부결]넘버즈인 3번 보들보들 결 세럼 50ml 리필기획(50ml+50ml),"38,000","28,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(27,367건)",4.7
60,메디힐,[흔적세럼] 메디힐 마데카소사이드 흔적 리페어 세럼 40ml,"22,000","14,600",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(5,383건)",4.8
61,아이소이,[아이소이x망그러진곰][대용량] 아이소이 모이스춰 닥터 장수진 수분크림100ml 한정기획(+키링&장바구니증정),"52,000","28,600",스킨케어,크림,크림,"(8,330건)",4.8
62,마몽드,[최초 1+1 기획_2월 올영픽] 마몽드 포어 슈링커 바쿠치올 크림 60ml 톰과 제리 에디션 (+파우치 증정),"38,000","34,900",스킨케어,크림,크림,"(1,114건)",4.7
63,성분에디터,[1등모공앰플] 성분에디터 그린토마토 모공앰플 30ml 1+1 더블기획,"25,900","18,100",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(17,063건)",4.7
64,에스트라,[2월올영픽] [수분크림]에스트라 아토베리어365 하이드로 수딩크림 100ml 대용량 기획 (+무기자차 선크림10ml),"47,000","32,900",스킨케어,크림,크림,"(11,329건)",4.8
65,에센허브,[한정기획] 에센허브 티트리 100 오일 10ml 1+1 기획 (10ml+10ml+면봉 50ea),"19,800","18,810",스킨케어,미스트/오일,페이스오일,"(4,797건)",4.6
66,닥터지,[탄력/보습크림] 닥터지 블랙 스네일 크림 50ml 1+1 기획 (+15ml)(영양크림),"33,000","29,800",스킨케어,크림,크림,"(4,435건)",4.9
67,달바,[산뜻보습/진정미스트세럼] 달바 화이트 트러플 바이탈 스프레이 세럼 100ml + 100ml 기획세트,"58,000","35,200",스킨케어,미스트/오일,미스트/픽서,"(2,050건)",4.8
68,달바,달바 더블 세럼 앤 크림 70g,"78,000","38,900",스킨케어,크림,크림,"(2,391건)",4.8
69,에스티로더,에스티로더 갈색병 30ml 기획 (갈색병 21ml 추가 증정),"127,000",,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(2,882건)",4.8
70,넘버즈인,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,"46,000","29,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(11,629건)",4.7
71,VT,[화잘먹] VT 산삼 PDRN 에센스 100 30ml 기획/단품,"45,000","29,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(995건),4.8
72,라로슈포제,라로슈포제 시카플라스트 밤B5+ 40ml,"26,000","23,400",스킨케어,크림,크림,"(4,447건)",4.8
73,아이디얼포맨,[2024 어워즈]아이디얼 포 맨 퍼펙트 올인원 기획 2024 AD(150mL+30mL),"32,000","21,800",스킨케어,로션,올인원,"(1,513건)",4.9
74,넘버즈인,[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,"40,000","27,200",스킨케어,크림,크림,"(5,631건)",4.7
75,코스알엑스,코스알엑스 더 비타민C 23 톤업 미백 잡티세럼 20g 더블 기획 ( 20g * 2EA),"46,000","32,200",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(18,051건)",4.7
76,브링그린,[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,"27,000","19,800",스킨케어,스킨/토너,스킨/토너,"(26,535건)",4.8
77,VT,VT 리들샷 100 에센스 50ml 더블기획,"56,000","43,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(22,960건)",4.7
78,제로이드,[2월 올영픽] 제로이드 수딩 로션 160ml,"30,000","25,650",스킨케어,로션,로션,(378건),4.7
79,이니스프리,[리필기획] 이니스프리 비타C 7일 톤업 세럼 30ML 리필 기획(+리필팩 30ML),"38,000","27,400",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(5,315건)",4.9
80,아이디얼포맨,[2월올영픽]아이디얼포맨 퍼펙트 탄력 2종 세트 토트넘 홋스퍼 에디션(미니어처3종+콜라보양말),"48,000","33,000",스킨케어,스킨케어세트,스킨케어세트,(231건),4.9
81,파넬,[1+1더블기획] 파넬 시카마누 92세럼 더블 기획,"52,000","28,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(2,249건)",4.7
82,아누아,아누아 복숭아 70 나이아신아마이드 세럼 30ml 대용량 기획세트,"54,000","31,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(3,612건)",4.8
83,디오디너리,디오디너리 나이아신아마이드 10% + 징크 1% 30ml,"8,700",,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(10,438건)",4.6
84,원씽,[트러블완화/진정] 원씽 어성초 추출물 150ml,"11,500","9,780",스킨케어,스킨/토너,스킨/토너,(813건),4.8
85,우르오스,우르오스 올인원 스킨밀크 200ml,"29,700","23,700",스킨케어,로션,올인원,"(3,948건)",4.8
86,라운드랩,[민감진정] 라운드랩 소나무 진정 시카 앰플 30ml+30ml,"43,000","28,000",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(13,249건)",4.8
87,바이오힐보,[NEW] 바이오힐보 프로바이오덤 콜라겐 리모델링 부스터샷 프로그램 35ml,"42,900","27,800",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(145건),4.9
88,아이디얼포맨,[2월올영픽]아이디얼포맨 퍼펙트/시카 올인원(토트넘 콜라보 기획/상시기획),"39,800","29,800",스킨케어,로션,올인원,"(4,720건)",4.9
89,에스네이처,[2024어워즈] 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획(+50ml리필+수분크림10ml),"35,000","22,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(9,742건)",4.8
90,샤이샤이샤이,[속건조 종결] 샤이샤이샤이 리포좀 리페어 밀키 크림 50ml,"28,000","19,600",스킨케어,크림,크림,(312건),4.8
91,브링그린,[1등세럼] 브링그린 징크테카 트러블 세럼 한정기획,"39,600","24,800",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(10,816건)",4.7
92,이즈앤트리,[디렉터파이 PICK] 이즈앤트리 어니언 뉴페어 겔크림 50ml 기획 (+20ml +패드2매),"32,000","20,900",스킨케어,크림,크림,"(7,705건)",4.7
93,아이오페,[모공탄력] 아이오페 레티놀 슈퍼 바운스 세럼 30ml 기획 (+20ml+선 프로텍터 25ml),"50,000","42,500",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(10,690건)",4.9
94,닥터자르트,[인씨 PICK/한정수량1+1] 닥터자르트 시카페어 인텐시브 수딩 리페어 크림 50ml 1+1 기획,"50,000","42,500",스킨케어,크림,크림,"(2,185건)",4.8
95,이니스프리,"[흔적+모공케어] 이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+20ml, 마이멜로디 파우치)","40,000","29,200",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(11,185건)",4.8
96,구달,[단독 리필기획] 구달 어성초 히알루론 수딩 토너 350ml 리필 기획 (+350ml 리필),"32,000","24,000",스킨케어,스킨/토너,스킨/토너,(742건),4.8
97,리쥬란,[리쥬란 독자소재_강력진정PDRx] 리쥬란 더마 힐러 모이스처 트리트먼트 앰플 30ml 기획,"45,000","28,900",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,(768건),4.8
98,라로슈포제,[2월 올영픽] 라로슈포제 히알루B5 세럼 30ml 기획 (+3ml*2 추가증정),"56,000","42,000",스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,"(4,399건)",4.8
99,바이오힐보,[재구매1위/퀵보습진정] 바이오힐보 판테셀 리페어시카 크림미스트 120mL+120mL 더블기획,"25,200","24,500",스킨케어,미스트/오일,미스트/픽서,"(4,547건)",4.8
100,제로이드,[2월 올영픽/올영단독] 제로이드 인텐시브 로션 160ml 기획 (+크림 25ml),"32,000","27,360",스킨케어,로션,로션,(549건),4.8
