플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,듀이트리,듀이트리 AC컨트롤 EX 딥 그린 카밍 패드 60매기획(+20매증정),71,마스크팩,패드,패드,4.8,5405,24000,18000.0
올리브영,브링그린, 브링그린 티트리시카트러블수딩토너패드 핑크에디션 90매 리필기획(+90매+오징어게임2 세안밴드),72,마스크팩,패드,패드,4.8,5947,37800,20800.0
올리브영,메디큐브, 메디큐브 엑소좀 시카 진정 패드 100매,73,마스크팩,패드,패드,4.7,502,23800,17900.0
올리브영,아로셀, 아로셀 보툴케어 모공 마스크 3+1매 (+모공톡스 앰플 사셰 증정) 한정 기획,74,마스크팩,시트팩,시트팩,4.9,475,27000,24300.0
올리브영,메디힐, 메디힐 더마 모델링 팩 풀패키지 5종 골라담기,75,마스크팩,페이셜팩,모델링팩,4.8,16912,5000,
올리브영,메디앤서,메디앤서 비타 콜라겐 나노샷 마스크 10매,76,마스크팩,시트팩,시트팩,4.9,11,60000,29000.0
올리브영,아비브, 아비브 약산성 pH 시트 마스크 핏 1매 5종 택 1,77,마스크팩,시트팩,시트팩,4.8,45608,4000,2400.0
올리브영,바이오힐보, 바이오힐보 판테셀 리페어시카 퀵수딩마스크 30매,78,마스크팩,시트팩,시트팩,4.8,810,26000,16900.0
올리브영,토르홉, 토르홉 무스타 콩테 체인저블 퀵 마스크 90g,79,마스크팩,페이셜팩,워시오프팩,4.8,926,30500,22800.0
올리브영,CKD, CKD 레티노콜라겐 저분자300 모공탄력 마스크 4+1 기획,80,마스크팩,시트팩,시트팩,4.7,11361,20000,14500.0
올리브영,바이오던스, 바이오던스 바이오 콜라겐 리얼 딥 마스크 16매,81,마스크팩,시트팩,시트팩,4.7,8417,80000,68000.0
올리브영,메디큐브, 메디큐브 패드 1+1 리필기획 3종 택1,82,마스크팩,패드,패드,4.7,7771,33000,28900.0
올리브영,스트라이덱스, 스트라이덱스 센시티브 패드 90매,83,마스크팩,패드,패드,4.7,21374,13900,11800.0
올리브영,리쥬란, 리쥬란 더마힐러 모이스처 트리트먼트 마스크팩 5매,84,마스크팩,시트팩,시트팩,4.8,553,28000,16900.0
올리브영,바이오던스, 바이오던스 겔 토너 패드 60매 (씨켈프/비타),85,마스크팩,패드,패드,4.9,46,26000,19900.0
올리브영,에스네이처, 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,86,마스크팩,패드,패드,4.9,1749,26000,19500.0
올리브영,아누아,아누아 복숭아 70 나이아신아마이드 세럼 마스크 10매입,87,마스크팩,시트팩,시트팩,4.8,4775,40000,19500.0
올리브영,에스네이처, 에스네이처 수퍼 아쿠아겔 오아시스 앰플 마스크 10매,88,마스크팩,시트팩,시트팩,4.8,3782,30000,16000.0
올리브영,아누아,아누아 비타민씨 나이아신 톤업 잡티 패드 60매,89,마스크팩,패드,패드,5.0,49,24000,18900.0
올리브영,메디앤서,메디앤서 포어 콜라겐 나노샷 마스크 10매,90,마스크팩,시트팩,시트팩,4.4,16,60000,
올리브영,에스트라, 에스트라 에이시카365 쿨링팩패드 pH4.5 60매,91,마스크팩,패드,패드,5.0,5,28000,
올리브영,한율,한율 부들밤 모공수축 패드 50매(+20매 기획),92,마스크팩,패드,패드,4.8,1065,29000,17900.0
올리브영,메디힐,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,93,마스크팩,시트팩,시트팩,4.8,2617,30000,15000.0
올리브영,스킨푸드,스킨푸드 수비드 마스크시트 1매 10종 중 택1,94,마스크팩,시트팩,시트팩,4.8,3347,1100,880.0
올리브영,한율,한율 달빛유자 수면팩 70ml (+35ml 증정기획),95,마스크팩,페이셜팩,슬리핑팩,4.8,5510,34000,26800.0
올리브영,마몽드, 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획 (+패드 20매 증정),96,마스크팩,페이셜팩,워시오프팩,4.8,3350,30000,20900.0
올리브영,마몽드, 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획 (+크림 25ml 증정),97,마스크팩,페이셜팩,워시오프팩,4.8,3350,30000,20900.0
올리브영,메디큐브,메디큐브 제로 모공 블랙헤드 머드팩 100g,98,마스크팩,페이셜팩,워시오프팩,4.4,340,21000,14400.0
올리브영,더랩바이블랑두,더랩바이블랑두 올리고 히알루론산 쏙수분 마스크팩 10매입,99,마스크팩,시트팩,시트팩,4.8,2860,30000,17000.0
올리브영,아이소이, 아이소이 블레미쉬 케어 아이&미간 패치 90매 (+90매 더블기획),100,마스크팩,패치,패치,4.8,3822,44600,35700.0
