플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,마르시끄, 마르시끄 인리치드 비건 블랙 속눈썹 영양제,89,메이크업,아이메이크업,마스카라,4.6,1476,24800,19800.0
올리브영,클리오,"[5년연속수상]클리오 킬 커버 파운웨어 쿠션 디 오리지널 한정기획 (+리필, 톤업 프라이머 증정)",90,메이크업,베이스메이크업,쿠션,4.5,4870,36000,
올리브영,비디비치, 비디비치 롱웨어 스킨 핏 쿠션 리필 기획 (+스킨일루미네이션10ml 증정) 3종 택1,91,메이크업,베이스메이크업,쿠션,4.8,296,56000,44800.0
올리브영,힌스, 힌스 메쉬 매트 쿠션 어워즈 한정 기획(본품+리필+미니컨실러),92,메이크업,베이스메이크업,쿠션,4.6,7854,34000,
올리브영,데이지크, 데이지크 핑크 블라썸 섀도우 팔레트 2종 중 택1,93,메이크업,아이메이크업,아이섀도우,5.0,17,32000,22990.0
올리브영,페리페라,페리페라 맑게 물든 선샤인 치크,94,메이크업,베이스메이크업,블러셔,4.8,25916,8000,
올리브영,더샘, 더샘 커버 퍼펙션 팁컨실러 9.5g 6colors,95,메이크업,베이스메이크업,컨실러,4.7,15210,7700,6930.0
올리브영,롬앤,롬앤 듀이풀 워터 틴트,96,메이크업,립메이크업,립틴트,4.7,36721,13000,11050.0
올리브영,롬앤,롬앤 한올 샤프 브로우,97,메이크업,아이메이크업,아이브로우,4.7,14002,12000,9600.0
올리브영,키스미, 키스미 마스카라 EX 1+1 한정기획 (롱/볼륨) (기획/단품),98,메이크업,아이메이크업,마스카라,4.7,16530,18000,17800.0
올리브영,클리오, 클리오 크리스탈 글램 틴트,99,메이크업,립메이크업,립틴트,4.7,21536,18000,
올리브영,토니모리, 토니모리 치크톤 립앤치크 듀오밤 12종,100,메이크업,베이스메이크업,블러셔,4.9,1101,20000,18000.0
