ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
86,에스네이처,[디렉터파이TOP/수분쿨링진정] 에스네이처 아쿠아 오아시스 판테알란 카밍패드 60매,"26,000","19,500",마스크팩,패드,패드,"(1,749건)",4.9
87,아누아,아누아 복숭아 70 나이아신아마이드 세럼 마스크 10매입,"40,000","19,500",마스크팩,시트팩,시트팩,"(4,775건)",4.8
88,에스네이처,[화해1위/수분광] 에스네이처 수퍼 아쿠아겔 오아시스 앰플 마스크 10매,"30,000","16,000",마스크팩,시트팩,시트팩,"(3,782건)",4.8
89,아누아,아누아 비타민씨 나이아신 톤업 잡티 패드 60매,"24,000","18,900",마스크팩,패드,패드,(49건),5.0
90,메디앤서,[모공쿨링/대용량]메디앤서 포어 콜라겐 나노샷 마스크 10매,"60,000",,마스크팩,시트팩,시트팩,(16건),4.4
91,에스트라,[NEW] 에스트라 에이시카365 쿨링팩패드 pH4.5 60매,"28,000",,마스크팩,패드,패드,(5건),5.0
92,한율,한율 부들밤 모공수축 패드 50매(+20매 기획),"29,000","17,900",마스크팩,패드,패드,"(1,065건)",4.8
93,메디힐,메디힐 W.H.P 미백수분 블랙 마스크 EX 10매,"30,000","15,000",마스크팩,시트팩,시트팩,"(2,617건)",4.8
94,스킨푸드,스킨푸드 수비드 마스크시트 1매 10종 중 택1,"1,100",880,마스크팩,시트팩,시트팩,"(3,347건)",4.8
95,한율,한율 달빛유자 수면팩 70ml (+35ml 증정기획),"34,000","26,800",마스크팩,페이셜팩,슬리핑팩,"(5,510건)",4.8
96,마몽드,[화잘먹 마스크] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획 (+패드 20매 증정),"30,000","20,900",마스크팩,페이셜팩,워시오프팩,"(3,350건)",4.8
97,마몽드,[화잘먹 마스크_온라인 기획] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획 (+크림 25ml 증정),"30,000","20,900",마스크팩,페이셜팩,워시오프팩,"(3,350건)",4.8
98,메디큐브,[3분모공청소]메디큐브 제로 모공 블랙헤드 머드팩 100g,"21,000","14,400",마스크팩,페이셜팩,워시오프팩,(340건),4.4
99,더랩바이블랑두,더랩바이블랑두 올리고 히알루론산 쏙수분 마스크팩 10매입,"30,000","17,000",마스크팩,시트팩,시트팩,"(2,860건)",4.8
100,아이소이,[김지영PICK] 아이소이 블레미쉬 케어 아이&미간 패치 90매 (+90매 더블기획),"44,600","35,700",마스크팩,패치,패치,"(3,822건)",4.8
