ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
16,닥터지,[1등필링/증정기획] 닥터지 브라이트닝 필링젤 기획 2종 택1 (120+60g+배리어D로션 2ml/120+120g),"21,000","17,700",클렌징,필링&스크럽,페이셜스크럽,"(35,316건)",4.8
17,라로슈포제,[2월 올영픽] 라로슈포제 에빠끌라 딥클렌징포밍크림 125ml 기획 (+에빠폼 15ml),"30,000","22,400",클렌징,클렌징폼/젤,클렌징폼/젤,"(5,366건)",4.8
18,토르홉,[2월 올영픽/강력피지세정] 토르홉 카모스 블랙 소금거품 클렌저 130g+5g 기획,"18,600","12,500",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,568건)",4.8
19,바닐라코,바닐라코 클린잇제로 클렌징밤 100ml 기획 3종 택1 (+미니어처키트 7ml*4ea),"20,000","14,800",클렌징,오일/밤,클렌징밤,"(6,807건)",4.9
20,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 기획 (200ml+폼50ml),"24,000","18,000",클렌징,워터/밀크,클렌징밀크/크림,"(7,984건)",4.8
21,비플레인,[블랙헤드제거] 비플레인 녹두 클렌징 오일 200ml + 50ml 세트,"24,000","19,900",클렌징,오일/밤,클렌징오일,"(5,082건)",4.8
22,에스네이처,[화해1위] 에스네이처 아쿠아 라이스 약산성 클렌징폼 160ml 기획(+20ml),"19,000","15,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(4,491건)",4.8
23,주미소,[여드름기능성/피지케어]주미소 포어 퓨리파잉 살리실산 포밍 클렌저 150g 더블 기획,"28,000","21,000",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,304건)",4.9
24,아누아,아누아 어성초 포어 컨트롤 클렌징오일 200ml 더블 기획,"40,000","24,900",클렌징,오일/밤,클렌징오일,"(8,057건)",4.7
25,한율,[쫀득피지흡착][+추가증정] 한율 쑥시카 쑥떡팩폼 (120ml+15ml),"28,000","19,950",클렌징,클렌징폼/젤,팩클렌저,"(2,735건)",4.8
26,바닐라코,[모공세정] 바닐라코 클린잇제로 포어클래리파잉 클렌징밤 100ml 기획 (+미니어처키트 7ml*4개입),"20,000","14,800",클렌징,오일/밤,클렌징밤,"(2,656건)",4.8
27,바이오더마,바이오더마 센시비오 H2O 500ml(클렌징워터),"27,000","17,850",클렌징,워터/밀크,클렌징워터,"(62,643건)",4.9
28,프리메라,[100ml+100ml+패드2매] 프리메라 마일드 앤 퍼펙트 페이셜 필링 기획,"20,000","15,200",클렌징,필링&스크럽,페이셜스크럽,"(9,529건)",4.8
29,넘버즈인,넘버즈인 1번 말끔 순삭 클렌징 오일 400ml 대용량 기획,"35,000","24,500",클렌징,오일/밤,클렌징오일,"(11,744건)",4.8
30,휩드,휩드 비건 팩클렌저 튜브형 130g (5종 중 택1),"29,000","22,900",클렌징,클렌징폼/젤,팩클렌저,"(1,671건)",4.8
31,아렌시아,[2월 올영픽/NEW] 아렌시아 찹쌀떡솝 그린티 LHA 딥 포어 클렌저 150g 기획 (+스파츌라 브러쉬),"28,000","22,400",클렌징,클렌징폼/젤,클렌징폼/젤,(282건),4.9
32,몰바니,[고민시 PICK] 몰바니 저자극 LHA 율피 젤 클렌저 200ml 기획 (+50ml),"28,000","19,800",클렌징,클렌징폼/젤,클렌징폼/젤,"(8,869건)",4.9
33,폰즈,[나띠 PICK] 폰즈 클리어 훼이스 스파 립&아이 리무버 120ml,"10,900","5,900",클렌징,립&아이리무버,립&아이리무버,"(81,629건)",4.9
34,프리메라,프리메라 마일드 앤 퍼펙트 오일 투 폼 기획(200ml+200ml리필) / 단품,"26,000","19,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(1,885건)",4.7
35,에스트라,[클렌징폼] 에스트라 아토베리어365 버블클렌저 150ml,"20,000","18,000",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,405건)",4.8
36,아누아,아누아 어성초 피지쏙 모공 폼 150ml 기획 (+25ml 증정),"14,000","13,500",클렌징,클렌징폼/젤,클렌징폼/젤,(928건),4.7
37,파파레서피,"[DAY6 PICK] 파파레서피 효소 파우더 클렌저 50g 3종 택1 (블레미쉬(광채), 가지(보습), 티트리(진정))","18,000","14,400",클렌징,필링&스크럽,파우더워시,"(10,484건)",4.8
38,제로이드,[2월 올영픽/올영단독] 제로이드 더마뉴얼 클렌징젤 200ml 기획 (+25ml),"22,000","18,820",클렌징,클렌징폼/젤,클렌징폼/젤,(359건),4.8
39,일리윤,일리윤 프레쉬 모이스춰 립앤아이 리무버 300ml,"24,000","14,900",클렌징,립&아이리무버,립&아이리무버,"(16,088건)",4.7
40,아벤느,아벤느 클리낭스 클렌징 젤 400ml 더블 기획*피지잡는 *약산성클렌저,"45,000","37,900",클렌징,클렌징폼/젤,클렌징폼/젤,"(11,163건)",4.7
41,키스미,[마스카라 리무버] 키스미 히로인메이크 스피디 마스카라 전용 리무버,"13,000","9,900",클렌징,립&아이리무버,립&아이리무버,"(14,913건)",4.9
42,라운드랩,[대용량/약산성] 라운드랩 1025 독도 클렌징 워터 1+1 기획 (400ml+400ml),"18,000","17,500",클렌징,워터/밀크,클렌징워터,"(7,056건)",4.8
43,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징폼150ml 1+1기획,"18,000","15,300",클렌징,클렌징폼/젤,클렌징폼/젤,"(26,308건)",4.7
44,센카,[2월 올영픽/ 7일 특가] 센카 퍼펙트 휩 스피디 150mL +150mL 2입,"21,900","18,600",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,138건)",4.8
45,오브제,오브제 블랙헤드 스크럽 밤 20g,"17,800","12,900",클렌징,필링&스크럽,피지클리너,(72건),4.9
46,폰즈,[나띠 PICK] 폰즈 클리어 스파 립앤아이 리무버 300ml,"24,500",,클렌징,립&아이리무버,립&아이리무버,"(81,629건)",4.9
47,에스네이처,[말끔촉촉] 에스네이처 아쿠아 라이스 클렌징오일 200ml,"24,000","17,900",클렌징,오일/밤,클렌징오일,"(1,045건)",4.8
48,에이프릴스킨,[화해 1위] 에이프릴스킨 핑크 알로에 팩 클렌저 리틀어피치 에디션(+세안스펀지 증정),"24,500","17,900",클렌징,클렌징폼/젤,팩클렌저,(289건),4.7
49,일소,[2월올영픽] 일소 슈퍼 멜팅 세범 클렌징오일 200ml 기획 (+듀얼클린브러쉬),"20,000","17,900",클렌징,오일/밤,클렌징오일,(122건),4.9
50,바닐라코,[모공세정] 바닐라코 클린잇제로 포어 클래리파잉 폼 클렌저 150ml 더블기획,"16,000","12,500",클렌징,클렌징폼/젤,클렌징폼/젤,"(3,123건)",4.8
51,메디필,[모공/약알칼리성] 메디필 레드 락토 콜라겐 클리어 폼 2.0 기획 (300ml+딥 해면 구성),"24,000",,클렌징,클렌징폼/젤,클렌징폼/젤,"(16,578건)",4.7
52,메이크프렘,메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 200ml 기획(+100ml 리필),"28,000",,클렌징,워터/밀크,클렌징밀크/크림,"(7,137건)",4.8
53,비오텀,비오텀 클렌징 밀크 200ml,"27,800",,클렌징,워터/밀크,클렌징밀크/크림,"(3,207건)",4.8
54,아크네스,[촉촉클렌저/거품] 아크네스 포밍워시 200㎖,"16,500",,클렌징,클렌징폼/젤,클렌징폼/젤,"(3,510건)",4.7
