플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,유이크,유이크 바이옴 레미디 수분 선크림 50ML(+수분선크림 20ml 증정),57,선케어,선크림,선크림,4.7,25,27000,21600.0
올리브영,듀이트리, 듀이트리 어반쉐이드 안티폴루션 선 50ml 2종 중 택 1,58,선케어,선크림,선크림,4.7,6537,30000,
올리브영,식물나라, 식물나라 워터프루프 선 크림 100mL,59,선케어,선크림,선크림,4.8,7948,19000,10800.0
올리브영,조선미녀, 조선미녀 맑은쌀선크림 아쿠아프레쉬 50ml 2입 기획,60,선케어,선크림,선크림,4.8,198,30000,26000.0
올리브영,라로슈포제,,61,선케어,선크림,선크림,4.7,1571,37000,
올리브영,라로슈포제,라로슈포제 유비데아 안뗄리오스 톤업 라이트 크림 30ml,62,선케어,선크림,선크림,4.7,754,37000,
올리브영,더하르나이,더하르나이 무기자차 시카이드 마일드 선케어 50ml+50ml 기획,63,선케어,선크림,선크림,4.7,83,28000,23800.0
올리브영,달바, 달바 마일드 선크림 듀오 기획 (50ml+50ml),64,선케어,선크림,선크림,4.7,1590,51000,35700.0
올리브영,프리메라, 프리메라 리페어링 세라캡슐 UV프로텍터 톤업 프라이밍 40ml,65,선케어,선크림,선크림,4.7,74,34000,22700.0
올리브영,오브제,오브제 오일 컨트롤 선스틱 18g,66,선케어,선스틱,선스틱,4.7,48,19800,15900.0
올리브영,메디큐브, 메디큐브 PDRN 핑크 톤업 선크림 50ml,67,선케어,선크림,선크림,4.6,14,24000,15900.0
올리브영,싸이닉, 싸이닉 엔조이 슈퍼 마일드 선 에센스 더블 기획 (50ml+50ml),68,선케어,선크림,선크림,4.8,9983,15000,
올리브영,듀이트리,듀이트리 어반쉐이드 커버 앤 핏 선 40ml 2종 중 택 1,69,선케어,선크림,선크림,4.5,1674,24000,20500.0
올리브영,브링그린,브링그린 티트리시카 선 3종(선크림/선스틱/선쿠션),70,선케어,선크림,선크림,4.6,4828,20000,
올리브영,아로마티카, 아로마티카 수딩 알로에 베라 젤 300ml,71,선케어,태닝/애프터선,애프터선,4.7,14075,11000,
올리브영,메디힐, 메디힐 수분 유브이컷 선크림 50g [히알루론산],72,선케어,선크림,선크림,4.9,5800,17000,13400.0
