플랫폼,브랜드,제품명,대분류_순위,대분류,중분류,소분류,평점,후기 수,정가,할인가
올리브영,닥터자르트, 닥터자르트 세라마이딘 울트라 모이스처라이징 크림 50ml 1+1 기획,56,스킨케어,크림,크림,4.8,2887,51000,43350.0
올리브영,리얼베리어,리얼베리어 익스트림 크림 라이트 65ml 1+1 기획,57,스킨케어,크림,크림,4.7,1784,35500,24200.0
올리브영,라운드랩, 라운드랩 1025 독도 토너 500ml 기획 (+100ml),58,스킨케어,스킨/토너,스킨/토너,4.8,11167,30000,27000.0
올리브영,넘버즈인,넘버즈인 3번 보들보들 결 세럼 50ml 리필기획(50ml+50ml),59,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,27367,38000,28500.0
올리브영,메디힐, 메디힐 마데카소사이드 흔적 리페어 세럼 40ml,60,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,5383,22000,14600.0
올리브영,아이소이,[대용량] 아이소이 모이스춰 닥터 장수진 수분크림100ml 한정기획(+키링&장바구니증정),61,스킨케어,크림,크림,4.8,8330,52000,28600.0
올리브영,마몽드, 마몽드 포어 슈링커 바쿠치올 크림 60ml 톰과 제리 에디션 (+파우치 증정),62,스킨케어,크림,크림,4.7,1114,38000,34900.0
올리브영,성분에디터, 성분에디터 그린토마토 모공앰플 30ml 1+1 더블기획,63,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,17063,25900,18100.0
올리브영,에스트라, [수분크림]에스트라 아토베리어365 하이드로 수딩크림 100ml 대용량 기획 (+무기자차 선크림10ml),64,스킨케어,크림,크림,4.8,11329,47000,32900.0
올리브영,에센허브, 에센허브 티트리 100 오일 10ml 1+1 기획 (10ml+10ml+면봉 50ea),65,스킨케어,미스트/오일,페이스오일,4.6,4797,19800,18810.0
올리브영,닥터지, 닥터지 블랙 스네일 크림 50ml 1+1 기획 (+15ml)(영양크림),66,스킨케어,크림,크림,4.9,4435,33000,29800.0
올리브영,달바, 달바 화이트 트러플 바이탈 스프레이 세럼 100ml + 100ml 기획세트,67,스킨케어,미스트/오일,미스트/픽서,4.8,2050,58000,35200.0
올리브영,달바,달바 더블 세럼 앤 크림 70g,68,스킨케어,크림,크림,4.8,2391,78000,38900.0
올리브영,에스티로더,에스티로더 갈색병 30ml 기획 (갈색병 21ml 추가 증정),69,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,2882,127000,
올리브영,넘버즈인, 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,70,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,11629,46000,29900.0
올리브영,VT, VT 산삼 PDRN 에센스 100 30ml 기획/단품,71,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,995,45000,29900.0
올리브영,라로슈포제,라로슈포제 시카플라스트 밤B5+ 40ml,72,스킨케어,크림,크림,4.8,4447,26000,23400.0
올리브영,아이디얼포맨,아이디얼 포 맨 퍼펙트 올인원 기획 2024 AD(150mL+30mL),73,스킨케어,로션,올인원,4.9,1513,32000,21800.0
올리브영,넘버즈인,넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,74,스킨케어,크림,크림,4.7,5631,40000,27200.0
올리브영,코스알엑스,코스알엑스 더 비타민C 23 톤업 미백 잡티세럼 20g 더블 기획 ( 20g * 2EA),75,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,18051,46000,32200.0
올리브영,브링그린, 브링그린 티트리시카수딩토너 500mL 기획/단품,76,스킨케어,스킨/토너,스킨/토너,4.8,26535,27000,19800.0
올리브영,VT,VT 리들샷 100 에센스 50ml 더블기획,77,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,22960,56000,43500.0
올리브영,제로이드, 제로이드 수딩 로션 160ml,78,스킨케어,로션,로션,4.7,378,30000,25650.0
올리브영,이니스프리, 이니스프리 비타C 7일 톤업 세럼 30ML 리필 기획(+리필팩 30ML),79,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,5315,38000,27400.0
올리브영,아이디얼포맨,아이디얼포맨 퍼펙트 탄력 2종 세트 토트넘 홋스퍼 에디션(미니어처3종+콜라보양말),80,스킨케어,스킨케어세트,스킨케어세트,4.9,231,48000,33000.0
올리브영,파넬, 파넬 시카마누 92세럼 더블 기획,81,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,2249,52000,28900.0
올리브영,아누아,아누아 복숭아 70 나이아신아마이드 세럼 30ml 대용량 기획세트,82,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,3612,54000,31900.0
올리브영,디오디너리,디오디너리 나이아신아마이드 10% + 징크 1% 30ml,83,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.6,10438,8700,
올리브영,원씽, 원씽 어성초 추출물 150ml,84,스킨케어,스킨/토너,스킨/토너,4.8,813,11500,9780.0
올리브영,우르오스,우르오스 올인원 스킨밀크 200ml,85,스킨케어,로션,올인원,4.8,3948,29700,23700.0
올리브영,라운드랩, 라운드랩 소나무 진정 시카 앰플 30ml+30ml,86,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,13249,43000,28000.0
올리브영,바이오힐보, 바이오힐보 프로바이오덤 콜라겐 리모델링 부스터샷 프로그램 35ml,87,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,145,42900,27800.0
올리브영,아이디얼포맨,아이디얼포맨 퍼펙트/시카 올인원(토트넘 콜라보 기획/상시기획),88,스킨케어,로션,올인원,4.9,4720,39800,29800.0
올리브영,에스네이처, 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획(+50ml리필+수분크림10ml),89,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,9742,35000,22900.0
올리브영,샤이샤이샤이, 샤이샤이샤이 리포좀 리페어 밀키 크림 50ml,90,스킨케어,크림,크림,4.8,312,28000,19600.0
올리브영,브링그린, 브링그린 징크테카 트러블 세럼 한정기획,91,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.7,10816,39600,24800.0
올리브영,이즈앤트리, 이즈앤트리 어니언 뉴페어 겔크림 50ml 기획 (+20ml +패드2매),92,스킨케어,크림,크림,4.7,7705,32000,20900.0
올리브영,아이오페, 아이오페 레티놀 슈퍼 바운스 세럼 30ml 기획 (+20ml+선 프로텍터 25ml),93,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.9,10690,50000,42500.0
올리브영,닥터자르트, 닥터자르트 시카페어 인텐시브 수딩 리페어 크림 50ml 1+1 기획,94,스킨케어,크림,크림,4.8,2185,50000,42500.0
올리브영,이니스프리," 이니스프리 레티놀 시카 흔적 앰플 30ml 기획 (+20ml, 마이멜로디 파우치)",95,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,11185,40000,29200.0
올리브영,구달, 구달 어성초 히알루론 수딩 토너 350ml 리필 기획 (+350ml 리필),96,스킨케어,스킨/토너,스킨/토너,4.8,742,32000,24000.0
올리브영,리쥬란, 리쥬란 더마 힐러 모이스처 트리트먼트 앰플 30ml 기획,97,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,768,45000,28900.0
올리브영,라로슈포제, 라로슈포제 히알루B5 세럼 30ml 기획 (+3ml*2 추가증정),98,스킨케어,에센스/세럼/앰플,에센스/세럼/앰플,4.8,4399,56000,42000.0
올리브영,바이오힐보, 바이오힐보 판테셀 리페어시카 크림미스트 120mL+120mL 더블기획,99,스킨케어,미스트/오일,미스트/픽서,4.8,4547,25200,24500.0
올리브영,제로이드, 제로이드 인텐시브 로션 160ml 기획 (+크림 25ml),100,스킨케어,로션,로션,4.8,549,32000,27360.0
