ranking,brand,product,or_price,dis_price,main_class,mid_class,sub_class,review_num,review_score
74,에스쁘아,[2월 올영픽/단독/페이크 블리치] 에스쁘아 더브로우 컬러 픽싱 카라 4 Colors,"16,000","12,500",메이크업,아이메이크업,아이브로우,"(5,047건)",4.8
75,비레디,[2월 올영픽][1+1]비레디 트루 톤 로션 33ml 1+1 기획 2종 택1 (오리지널/에어리),"37,000","28,900",메이크업,베이스메이크업,BB/CC,"(1,173건)",4.7
76,투에이엔,[NEW컬러/아이린PICK]투에이엔 베러미 아이팔레트 12colors(단품/한정기획),"23,000","19,000",메이크업,아이메이크업,아이섀도우,"(2,854건)",4.8
77,라네즈,라네즈 네오 쿠션 매트 15g 기획/단품,"30,000","24,000",메이크업,베이스메이크업,쿠션,"(8,975건)",4.7
78,헤라,헤라 블랙 쿠션 파운데이션 (본품15g+리필15g),"74,000",,메이크업,베이스메이크업,쿠션,"(11,478건)",4.8
79,헤라,헤라 센슈얼 누드 글로스 5g,"40,000",,메이크업,립메이크업,립글로스,"(4,568건)",4.8
80,롬앤,[NEW] 롬앤 베러 댄 컨투어,"24,000","21,600",메이크업,베이스메이크업,쉐이딩,"(4,141건)",4.8
81,뮤드,[NEW컬러] 뮤드 인스파이어 스키니 컬링/멀티 픽서 마스카라 (기획/단품),"14,000","12,600",메이크업,아이메이크업,마스카라,"(12,951건)",4.8
82,롬앤,[2024 어워즈] 롬앤 베러 댄 치크,"12,000","9,900",메이크업,베이스메이크업,블러셔,"(36,877건)",4.7
83,컬러그램,[미니탱글로스기획] 컬러그램 탕후루 탱글 틴트 16 COLOR (단품/기획),"10,000","8,900",메이크업,립메이크업,립틴트,"(14,787건)",4.7
84,얼터너티브스테레오,[NEW 컬러 출시] 얼터너티브스테레오 립 포션 슈가 글레이즈 틴트,"19,000","16,150",메이크업,립메이크업,립틴트,"(2,300건)",4.7
85,컬러그램,[글리터기획] 컬러그램 올인원 애교살 메이커 9 COLOR (기획/콜라보/단품),"9,800",,메이크업,아이메이크업,아이섀도우,"(35,548건)",4.6
86,웨이크메이크,[밀착 브러시 선착순 증정] 웨이크메이크 워터 글로우 코팅밤 3 COLOR (본품+리필+퍼프 2매 기획),"36,000","25,200",메이크업,베이스메이크업,파운데이션,"(5,198건)",4.6
87,베네피트,[태연PICK] 베네피트 틴트 6종 택1,"32,000","27,200",메이크업,립메이크업,립틴트,"(5,931건)",4.7
88,웨이크메이크,[1+1기획] 웨이크메이크 리얼 애쉬 브러쉬 아이라이너 3color (1+1기획/단품),"14,000",,메이크업,아이메이크업,아이라이너,"(15,855건)",4.7
89,마르시끄,[화해1위] 마르시끄 인리치드 비건 블랙 속눈썹 영양제,"24,800","19,800",메이크업,아이메이크업,마스카라,"(1,476건)",4.6
