랭킹,브랜드,상품명,정가,할인가
15,어뮤즈,[포카증정/단독기획] 어뮤즈 파우더 벨벳 틴트 한정 기획 (+미니리무버 증정),"19,000","15,200"
16,3CE,[2월올영픽] 3CE 캐시미어 허그 립스틱 10colors (기획세트 / 단품),"22,000","16,500"
17,메디큐브,[1+1/흔적미백] 메디큐브 연어 PDRN 핑크 앰플 더블기획 (30ml+30ml),"46,000","25,900"
오특,정샘물,정샘물 에센셜 스킨 누더 쿠션 (본품+리필),"45,000","42,750"
,디어달리아,[2024 어워즈] 디어달리아 리퀴드 블러쉬 (기획/단품),"25,000","21,250"
19,마녀공장,[4년연속1위]마녀공장 퓨어 클렌징 오일 200mlX2 더블기획,"37,000","25,900"
20,토리든,[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필기획(+리필팩 50ml),"36,000","27,000"
21,라로슈포제,[2월 올영픽] 라로슈포제 시카플라스트 크림 B5 100ml 기획 (+시카토너 50ml+시카크림 3ml 증정),"50,000","38,100"
22,구달,[세럼1위/6년연속수상/총 120ml 대용량]구달 청귤 비타C 잡티케어 세럼 70ml 대용량 어워즈 한정기획,"50,000","32,900"
23,웰라쥬,[대용량150ml] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획,"46,000","29,900"
24,비플레인,[1+1/수분선] 비플레인 녹두 쿨링 수분 선크림 50ml 1+1 기획,"25,000","21,560"
25,프로티원,[보틀증정/무료배송] 프로티원 단백질쉐이크 490g x2통,"52,900","46,900"
26,롬앤,[2024 어워즈/NEW] 롬앤 더 쥬시 래스팅 틴트 23 Color,"13,000","9,900"
27,더마비,[올영픽] 더마비 데일리 모이스처 바디로션 500ml 2입,"38,500","22,500"
오특,바이오더마,[2월 올영픽/화장솜 증정] 바이오더마 하이드라비오 에센스 로션 200ml(화장솜 증정),"35,000","23,500"
,메디힐,[16관왕/10매] 메디힐 에센셜 마스크팩 10매 고기능 7종 택1,"20,000","23,500"
29,에스네이처,[2년연속수상/1+1] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획(60ml+60ml),"43,000","11,340"
30,데이지크,[NEW/리뷰이벤트] 데이지크 퓨어 워터 립 글로스 16종 중 택1,"18,000","25,400"
31,셀라딕스,[트러블/모공개선] 셀라딕스 세범 리밸런싱 RX 131 앰플,"28,900","13,900"
32,닥터웰메이드원,[기획구성] 닥터웰메이드원 좁쌀피지 순삭패치 증량 기획 (30+10매) 2종 택1(마일드/슈퍼마일드),"19,900","27,600"
