랭킹,브랜드,상품명,정가,할인가
50,힌스,[NEW 로 크러쉬 컬렉션] 힌스 로 글로우 젤 틴트 15 Colors,"17,000","5,700"
51,네이밍,[단독기획] 네이밍 레이어드 핏 쿠션 기획 (본품+리필),"34,000","12,600"
52,에이지투웨니스,[윤이든 PICK/NEW 컬러 선런칭] AGE20S 벨벳 래스팅 팩트(본품+리필),"38,000","28,900"
53,뮤드,[NEW컬러] 뮤드 인스파이어 스키니 컬링/멀티 픽서 마스카라 (기획/단품),"14,000","9,900"
54,오브제,[덱스 PICK] 오브제 내추럴 커버 파운데이션 기획세트(+클렌징폼 50ml),"36,800","7,700"
55,3CE,3CE 무드레시피 페이스 블러쉬,"19,000","11,050"
56,하트퍼센트,[NEW/단독기획] 하트퍼센트 도트 온 무드 립펜슬 20colors (기획/단품),"14,000","12,500"
57,코스노리,[27관왕] 코스노리 화이트닝 드레스 비건 톤업크림,"20,000","17,600"
58,투쿨포스쿨,[2024 어워즈/7년연속1위] 투쿨포스쿨 바이로댕 쉐이딩,"16,000","9,900"
59,클리오,[상은언니X공동개발][NEW 20호 출시] 클리오 킬래쉬 수퍼프루프마스카라 1+1 기획,"18,000","14,400"
60,정샘물,정샘물 스킨 누더 커버레이어 쿠션 (본품+리필),"45,000","9,900"
61,더샘,더샘 커버 퍼펙션 컨실러 펜슬 7colors,"7,000","11,250"
62,삐아,[웜쿨 트임컬러] 삐아 라스트 오토 젤 아이라이너 단품 (19COLOR),"9,000","19,000"
63,네이밍,[단독기획] 네이밍 제로 그래비티 커버 핏 쿠션 기획 (본품+리필),"34,000","16,150"
64,3CE,[2월올영픽 / NEW] 3CE 글레이지 립 글로우 9colors,"21,000","19,800"
65,데이지크,[2024어워즈/3년연속수상] 데이지크 섀도우팔레트 24 colors (단품/기획),"34,000","22,400"
66,페리페라,페리페라 스피디 스키니 브로우,"6,000","8,900"
67,3CE,[2월올영픽] 3CE 블러 워터 틴트,"18,000","33,300"
68,헤라,헤라 블랙 쿠션 파운데이션 리필 15g,"38,000","25,200"
69,비레디,[2월 올영픽][1+1]비레디 트루 톤 로션 33ml 1+1 기획 2종 택1 (오리지널/에어리),"37,000","11,700"
70,롬앤,[2024 어워즈]롬앤 글래스팅 멜팅 밤(기획/단품),"13,000","9,900"
71,페리페라,페리페라 스피디 스키니 브로우 마스카라,"8,000","22,400"
72,롬앤,롬앤 듀이풀 워터 틴트,"13,000","12,600"
73,에스쁘아,[2월 올영픽/단독/페이크 블리치] 에스쁘아 더브로우 컬러 픽싱 카라 4 Colors,"16,000","24,300"
74,바닐라코,[2024 어워즈][3년연속수상] 바닐라코 프라임 프라이머 피니쉬 파우더,"22,000","11,200"
75,컬러그램,[글리터기획] 컬러그램 올인원 애교살 메이커 9 COLOR (기획/콜라보/단품),"9,800","15,800"
76,롬앤,[롬앤X이나피스퀘어] 롬앤 블러 퍼지 틴트,"13,000","13,800"
77,코스노리,[블랙영양제] 코스노리 아이래쉬 틴팅 세럼 비건 블랙 속눈썹영양제,"18,000",
78,롬앤,[NEW] 롬앤 글래스팅 컬러 글로스,"13,000",
79,토니모리,[100시간 지속] 토니모리 퍼펙트립스 쇼킹립 틴트 14종,"15,000",
80,웨이크메이크,웨이크메이크 워터 벨벳 커버 파운데이션 (기획/단품),"38,000",
81,얼터너티브스테레오,얼터너티브스테레오 립 포션 바미 로즈,"19,000",
82,정샘물,정샘물 에센셜 물크림 오리지널/라이트 30ml/50ml,"35,000",
83,아이레놀,아이레놀 다크서클 크림 3종 (촉촉하고 자연스러운 커버),"24,800",
84,자빈드서울,[단독기획] 자빈드서울 윙크 파운데이션 팩트 15g (본품+퍼프2개 증정),"28,000",
85,클리오,[2024어워즈 수상] 클리오 프로아이팔레트에어 단품/기획,"34,000",
86,컬러그램,[미니탱글로스기획] 컬러그램 탕후루 탱글 틴트 16 COLOR (단품/기획),"10,000",
87,파넬,[진정커버] 파넬 시카마누 세럼쿠션 기획 (본품+리필),"37,000",
88,웨이크메이크,[밀착 브러시 선착순 증정] 웨이크메이크 워터 글로우 코팅밤 3 COLOR (본품+리필+퍼프 2매 기획),"36,000",
89,웨이크메이크,[1+1 기획] 웨이크메이크 내추럴 하드 브로우 펜슬 5 COLOR,"13,000",
90,웨이크메이크,웨이크메이크 워터 블러링 픽싱 틴트 20 COLOR (단품/기획),"16,000",
91,코스노리,[NEW컬러] 코스노리 판테놀 비건 글로우 쿠션 (단품/기획),"32,000",
92,딘토,딘토 블러젤리 플럼핑 립 틴트 7 colors,"20,000",
93,디어달리아,[NEW아이앤치크/단독] 디어달리아 스윗 드림 듀얼 팔레트,"27,000",
94,페리페라,[우정 공동개발] 페리페라 시럽피 톡 치크,"14,000",
95,퓌,[리뷰이벤트] 퓌 립앤치크 글로이 젤리팟 19컬러,"20,000",
96,홀리카홀리카,[2024어워즈/한정기획] 홀리카홀리카 마이페이브 피스 아이섀도우 어워즈 한정기획,"18,000",
97,페리페라,페리페라 맑게 물든 선샤인 치크,"8,000",
98,,,,
99,,,,
100,,,,
